service_id,date,exception_type
"766_10609","20160319","1"
"766_10609","20160324","1"
"766_10609","20160325","1"
"766_10609","20160326","1"
"766_10609","20160402","1"
"766_10609","20160409","1"
"766_10609","20160416","1"
"766_10609","20160423","1"
"766_10609","20160430","1"
"766_10609","20160507","1"
"766_10609","20160514","1"
"766_26821","20160318","1"
"766_26821","20160325","1"
"766_26821","20160401","1"
"766_26821","20160408","1"
"766_26821","20160415","1"
"766_26821","20160422","1"
"766_26821","20160429","1"
"766_26821","20160506","1"
"766_26821","20160513","1"
"766_30350","20160320","1"
"766_30350","20160327","1"
"766_30350","20160328","1"
"766_30350","20160403","1"
"766_30350","20160410","1"
"766_30350","20160417","1"
"766_30350","20160424","1"
"766_30350","20160425","1"
"766_30350","20160508","1"
"766_36693","20160507","1"
"766_36693","20160514","1"
"766_36695","20160501","1"
"766_36695","20160508","1"
"766_41578","20160319","1"
"766_41578","20160326","1"
"766_41578","20160402","1"
"766_41578","20160409","1"
"766_41578","20160416","1"
"766_41578","20160423","1"
"766_41578","20160430","1"
"766_41578","20160507","1"
"766_41578","20160514","1"
"766_41579","20160320","1"
"766_41579","20160327","1"
"766_41579","20160328","1"
"766_41579","20160403","1"
"766_41579","20160410","1"
"766_41579","20160417","1"
"766_41579","20160424","1"
"766_41579","20160425","1"
"766_41579","20160508","1"
"766_43608","20160501","1"
"766_43610","20160319","1"
"766_43610","20160326","1"
"766_43610","20160402","1"
"766_43610","20160409","1"
"766_43610","20160416","1"
"766_43610","20160423","1"
"766_43610","20160430","1"
"766_43610","20160507","1"
"766_43610","20160514","1"
"766_43611","20160320","1"
"766_43611","20160327","1"
"766_43611","20160328","1"
"766_43611","20160403","1"
"766_43611","20160410","1"
"766_43611","20160417","1"
"766_43611","20160424","1"
"766_43611","20160425","1"
"766_43611","20160508","1"
"766_43678","20160324","1"
"766_43678","20160325","1"
"766_44770","20160319","1"
"766_44770","20160326","1"
"766_44770","20160402","1"
"766_44770","20160409","1"
"766_44770","20160416","1"
"766_44770","20160423","1"
"766_44770","20160430","1"
"766_44770","20160507","1"
"766_44770","20160514","1"
"766_45056","20160314","1"
"766_45056","20160315","1"
"766_45056","20160316","1"
"766_45056","20160317","1"
"766_45056","20160318","1"
"766_45056","20160321","1"
"766_45056","20160322","1"
"766_45056","20160323","1"
"766_45056","20160330","1"
"766_45056","20160331","1"
"766_45056","20160401","1"
"766_45056","20160404","1"
"766_45056","20160405","1"
"766_45056","20160406","1"
"766_45056","20160407","1"
"766_45056","20160408","1"
"766_45056","20160411","1"
"766_45056","20160412","1"
"766_45056","20160413","1"
"766_45056","20160414","1"
"766_45056","20160415","1"
"766_45056","20160418","1"
"766_45056","20160419","1"
"766_45056","20160420","1"
"766_45056","20160421","1"
"766_45056","20160422","1"
"766_45056","20160426","1"
"766_45056","20160427","1"
"766_45056","20160428","1"
"766_45056","20160429","1"
"766_45056","20160502","1"
"766_45056","20160503","1"
"766_45056","20160504","1"
"766_45056","20160505","1"
"766_45056","20160506","1"
"766_45056","20160509","1"
"766_45056","20160510","1"
"766_45056","20160511","1"
"766_45056","20160512","1"
"766_45056","20160513","1"
"766_45065","20160314","1"
"766_45065","20160315","1"
"766_45065","20160316","1"
"766_45065","20160317","1"
"766_45065","20160318","1"
"766_45065","20160321","1"
"766_45065","20160322","1"
"766_45065","20160323","1"
"766_45065","20160330","1"
"766_45065","20160331","1"
"766_45065","20160401","1"
"766_45065","20160404","1"
"766_45065","20160405","1"
"766_45065","20160406","1"
"766_45065","20160407","1"
"766_45065","20160408","1"
"766_45065","20160411","1"
"766_45065","20160412","1"
"766_45065","20160413","1"
"766_45065","20160414","1"
"766_45065","20160415","1"
"766_45065","20160418","1"
"766_45065","20160419","1"
"766_45065","20160420","1"
"766_45065","20160421","1"
"766_45065","20160422","1"
"766_45065","20160426","1"
"766_45065","20160427","1"
"766_45065","20160428","1"
"766_45065","20160429","1"
"766_45065","20160502","1"
"766_45065","20160503","1"
"766_45065","20160504","1"
"766_45065","20160505","1"
"766_45065","20160506","1"
"766_45065","20160509","1"
"766_45065","20160510","1"
"766_45065","20160511","1"
"766_45065","20160512","1"
"766_45065","20160513","1"
"766_45074","20160314","1"
