route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"01","MOBILITA","01","","3","FFFFFF","000000"
"011","MOBILITA","011","","3","FFFFFF","000000"
"012","MOBILITA","012","","3","FFFFFF","000000"
"013","MOBILITA","013","","3","FFFFFF","000000"
"013D","MOBILITA","013D","","3","FFFFFF","000000"
"014","MOBILITA","014","","3","FFFFFF","000000"
"015","MOBILITA","015","","3","FFFFFF","000000"
"016","MOBILITA","016","","3","FFFFFF","000000"
"016F","MOBILITA","016F","","3","FFFFFF","000000"
"017","MOBILITA","017","","3","FFFFFF","000000"
"018","MOBILITA","018","","3","FFFFFF","000000"
"020","MOBILITA","020","","3","FFFFFF","000000"
"021","MOBILITA","021","","3","FFFFFF","000000"
"022","MOBILITA","022","","3","FFFFFF","000000"
"023","MOBILITA","023","","3","FFFFFF","000000"
"024","MOBILITA","024","","3","FFFFFF","000000"
"025","MOBILITA","025","","3","FFFFFF","000000"
"027","MOBILITA","027","","3","FFFFFF","000000"
"028","MOBILITA","028","","3","FFFFFF","000000"
"029","MOBILITA","029","","3","FFFFFF","000000"
"03","MOBILITA","03","","3","FFFFFF","000000"
"030","MOBILITA","030","","3","FFFFFF","000000"
"031","MOBILITA","031","","3","FFFFFF","000000"
"032","MOBILITA","032","","3","FFFFFF","000000"
"033","MOBILITA","033","","3","FFFFFF","000000"
"035","MOBILITA","035","","3","FFFFFF","000000"
"036","MOBILITA","036","","3","FFFFFF","000000"
"037","MOBILITA","037","","3","FFFFFF","000000"
"039","MOBILITA","039","","3","FFFFFF","000000"
"04","MOBILITA","04","","3","FFFFFF","000000"
"040","MOBILITA","040","","3","FFFFFF","000000"
"040F","MOBILITA","040F","","3","FFFFFF","000000"
"041","MOBILITA","041","","3","FFFFFF","000000"
"041F","MOBILITA","041F","","3","FFFFFF","000000"
"042","MOBILITA","042","","3","FFFFFF","000000"
"043","MOBILITA","043","","3","FFFFFF","000000"
"044","MOBILITA","044","","3","FFFFFF","000000"
"046","MOBILITA","046","","3","FFFFFF","000000"
"047","MOBILITA","047","","3","FFFFFF","000000"
"048","MOBILITA","048","","3","FFFFFF","000000"
"049","MOBILITA","049","","3","FFFFFF","000000"
"04B","MOBILITA","04B","","3","FFFFFF","000000"
"05","MOBILITA","05","","3","FFFFFF","000000"
"050","MOBILITA","050","","3","FFFFFF","000000"
"051","MOBILITA","051","","3","FFFFFF","000000"
"053","MOBILITA","053","","3","FFFFFF","000000"
"054","MOBILITA","054","","3","FFFFFF","000000"
"055","MOBILITA","055","","3","FFFFFF","000000"
"056","MOBILITA","056","","3","FFFFFF","000000"
"057","MOBILITA","057","","3","FFFFFF","000000"
"058","MOBILITA","058","","3","FFFFFF","000000"
"058F","MOBILITA","058F","","3","FFFFFF","000000"
